,y_pred,y_test,price
2009-10-03 02:15:00,1.0,0.0,667.7
2009-10-03 02:19:59,1.0,-1.0,667.7
2009-10-03 02:24:59,1.0,0.0,667.4
2009-10-03 02:29:59,1.0,0.0,667.4
2009-10-03 02:34:59,1.0,1.0,667.4
2009-10-03 02:40:00,1.0,0.0,667.7
2009-10-03 02:44:59,1.0,0.0,667.7
2009-10-03 02:49:59,1.0,0.0,667.7
2009-10-03 02:54:59,1.0,0.0,667.7
2009-10-03 03:00:00,1.0,0.0,667.7
2009-10-03 03:04:59,1.0,0.0,667.7
2009-10-03 03:09:59,1.0,0.0,667.7
2009-10-03 03:14:59,1.0,0.0,667.7
2009-10-03 03:19:59,1.0,-1.0,667.7
2009-10-03 03:25:00,1.0,-1.0,666.8
2009-10-03 03:29:59,1.0,0.0,666.7
2009-10-03 03:34:59,1.0,0.0,666.7
2009-10-03 03:39:59,1.0,0.0,666.7
2009-10-03 03:45:00,1.0,0.0,666.7
2009-10-03 03:49:59,1.0,0.0,666.7
2009-10-03 03:54:59,1.0,0.0,666.7
2009-10-03 03:59:59,1.0,0.0,666.7
2009-10-03 04:04:59,1.0,0.0,666.7
2009-10-03 04:10:00,1.0,0.0,666.7
2009-10-03 04:14:59,1.0,0.0,666.7
2009-10-03 04:19:59,1.0,0.0,666.7
2009-10-03 04:24:59,1.0,0.0,666.7
2009-10-03 04:30:00,1.0,0.0,666.7
2009-10-03 04:34:59,1.0,0.0,666.7
2009-10-03 04:39:59,1.0,0.0,666.7
2009-10-03 04:44:59,1.0,0.0,666.7
2009-10-03 04:49:59,1.0,0.0,666.7
2009-10-03 04:55:00,1.0,0.0,666.7
2009-10-03 04:59:59,1.0,0.0,666.7
2009-10-03 05:04:59,1.0,0.0,666.7
2009-10-03 05:09:59,1.0,0.0,666.7
2009-10-03 05:15:00,1.0,0.0,666.7
2009-10-03 05:19:59,1.0,0.0,666.7
2009-10-03 05:24:59,1.0,0.0,666.7
2009-10-03 05:29:59,1.0,-1.0,666.7
2009-10-03 05:34:59,1.0,0.0,666.4
2009-10-03 05:40:00,1.0,0.0,666.4
2009-10-03 05:44:59,1.0,0.0,666.4
2009-10-03 05:49:59,1.0,0.0,666.4
2009-10-03 05:54:59,1.0,0.0,666.4
2009-10-03 06:00:00,1.0,0.0,666.4
2009-10-03 06:04:59,1.0,0.0,666.4
2009-10-03 06:09:59,1.0,0.0,666.4
2009-10-03 06:14:59,1.0,0.0,666.4
2009-10-03 06:19:59,1.0,0.0,666.4
2009-10-03 06:25:00,1.0,0.0,666.4
2009-10-03 06:29:59,1.0,1.0,666.4
2009-10-03 06:34:59,1.0,0.0,666.6
2009-10-03 06:39:59,1.0,0.0,666.6
2009-10-03 06:45:00,1.0,0.0,666.6
2009-10-03 06:49:59,1.0,1.0,666.6
2009-10-03 06:54:59,1.0,0.0,667.0
2009-10-03 06:59:59,1.0,-1.0,667.0
2009-10-03 07:04:59,1.0,0.0,666.9
2009-10-03 07:10:00,1.0,0.0,666.9
2009-10-03 07:14:59,1.0,0.0,666.9
2009-10-03 07:19:59,1.0,0.0,666.9
2009-10-03 07:24:59,1.0,0.0,666.9
2009-10-03 07:30:00,1.0,0.0,666.9
2009-10-03 07:34:59,1.0,0.0,666.9
2009-10-03 07:39:59,1.0,0.0,666.9
2009-10-03 07:44:59,1.0,0.0,666.9
2009-10-03 07:49:59,1.0,0.0,666.9
2009-10-03 07:55:00,1.0,0.0,666.9
2009-10-03 07:59:59,1.0,0.0,666.9
2009-10-03 08:04:59,1.0,0.0,666.9
2009-10-03 08:09:59,1.0,-1.0,666.9
2009-10-03 08:15:00,1.0,0.0,666.1
2009-10-03 08:19:59,1.0,0.0,666.1
2009-10-03 08:24:59,1.0,0.0,666.1
2009-10-03 08:29:59,1.0,0.0,666.1
2009-10-03 08:34:59,1.0,0.0,666.1
2009-10-03 08:40:00,1.0,0.0,666.1
2009-10-03 08:44:59,1.0,0.0,666.1
2009-10-03 08:49:59,1.0,0.0,666.1
2009-10-03 08:54:59,1.0,0.0,666.1
2009-10-03 09:00:00,1.0,0.0,666.1
2009-10-03 09:04:59,1.0,-1.0,666.1
2009-10-03 09:09:59,1.0,0.0,665.8
2009-10-03 09:14:59,1.0,-1.0,665.8
2009-10-03 09:19:59,1.0,1.0,664.8
2009-10-03 09:25:00,1.0,0.0,666.4
2009-10-03 09:29:59,1.0,0.0,666.4
2009-10-03 09:34:59,1.0,0.0,666.4
2009-10-03 09:39:59,1.0,-1.0,666.4
2009-10-03 09:45:00,1.0,-1.0,664.7
2009-10-03 09:49:59,1.0,0.0,664.1
2009-10-03 09:54:59,1.0,0.0,664.1
2009-10-03 09:59:59,1.0,0.0,664.1
2009-10-03 10:04:59,1.0,1.0,664.1
2009-10-03 10:10:00,1.0,0.0,664.3
2009-10-03 10:14:59,1.0,0.0,664.3
2009-10-03 10:19:59,1.0,0.0,664.3
2009-10-03 10:24:59,1.0,1.0,664.3
2009-10-03 10:30:00,1.0,0.0,664.7
2009-10-03 10:34:59,1.0,0.0,664.7
2009-10-03 10:39:59,1.0,0.0,664.7
2009-10-03 10:44:59,1.0,-1.0,664.7
2009-10-03 10:49:59,1.0,0.0,664.2
2009-10-03 10:55:00,1.0,1.0,664.2
2009-10-03 10:59:59,1.0,0.0,665.9
2009-10-03 11:04:59,1.0,0.0,665.9
2009-10-03 11:09:59,1.0,0.0,665.9
2009-10-03 11:15:00,1.0,0.0,665.9
2009-10-03 11:19:59,1.0,0.0,665.9
2009-10-03 11:24:59,1.0,0.0,665.9
2009-10-03 11:29:59,1.0,0.0,665.9
2009-10-03 11:34:59,1.0,-1.0,665.9
2009-10-03 11:40:00,1.0,-1.0,663.7
2009-10-03 11:44:59,1.0,0.0,662.7
2009-10-03 11:49:59,1.0,0.0,662.7
2009-10-03 11:54:59,1.0,-1.0,662.7
2009-10-03 12:00:00,1.0,0.0,661.3
2009-10-03 12:04:59,1.0,1.0,661.3
2009-10-03 12:09:59,1.0,0.0,661.8
2009-10-03 12:14:59,1.0,0.0,661.8
2009-10-03 12:19:59,1.0,0.0,661.8
2009-10-03 12:25:00,1.0,0.0,661.8
2009-10-03 12:29:59,1.0,0.0,661.8
2009-10-03 12:34:59,1.0,0.0,661.8
2009-10-03 12:39:59,1.0,0.0,661.8
2009-10-03 12:45:00,1.0,0.0,661.8
2009-10-03 12:49:59,1.0,0.0,661.8
2009-10-03 12:54:59,1.0,0.0,661.8
2009-10-03 12:59:59,1.0,0.0,661.8
2009-10-03 13:04:59,1.0,0.0,661.8
2009-10-03 13:10:00,1.0,0.0,661.8
2009-10-03 13:14:59,1.0,0.0,661.8
2009-10-03 13:19:59,1.0,0.0,661.8
2009-10-03 13:24:59,1.0,0.0,661.8
2009-10-03 13:30:00,1.0,0.0,661.8
2009-10-03 13:34:59,1.0,0.0,661.8
2009-10-03 13:39:59,1.0,0.0,661.8
2009-10-03 13:44:59,1.0,0.0,661.8
2009-10-03 13:49:59,1.0,0.0,661.8
2009-10-03 13:55:00,1.0,0.0,661.8
2009-10-03 13:59:59,1.0,1.0,661.8
2009-10-03 14:04:59,1.0,-1.0,663.4
2009-10-03 14:09:59,1.0,-1.0,662.4
2009-10-03 14:15:00,1.0,0.0,662.1
2009-10-03 14:19:59,1.0,0.0,662.1
2009-10-03 14:24:59,1.0,1.0,662.1
2009-10-03 14:29:59,1.0,-1.0,663.0
2009-10-03 14:34:59,1.0,1.0,661.7
2009-10-03 14:40:00,1.0,0.0,662.7
2009-10-03 14:44:59,1.0,1.0,662.7
2009-10-03 14:49:59,1.0,-1.0,664.0
2009-10-03 14:54:59,1.0,-1.0,663.7
2009-10-03 15:00:00,1.0,0.0,663.6
2009-10-03 15:04:59,1.0,-1.0,663.6
2009-10-03 15:09:59,1.0,-1.0,663.4
2009-10-03 15:14:59,1.0,0.0,663.3
2009-10-03 15:19:59,1.0,-1.0,663.3
2009-10-03 15:25:00,1.0,-1.0,662.1
2009-10-03 15:29:59,1.0,-1.0,661.3
2009-10-03 15:34:59,1.0,1.0,659.3
2009-10-03 15:39:59,1.0,-1.0,662.8
2009-10-03 15:45:00,1.0,-1.0,662.4
2009-10-03 15:49:59,1.0,1.0,659.8
2009-10-03 15:54:59,1.0,-1.0,660.5
2009-10-03 15:59:59,1.0,0.0,656.3
2009-10-03 16:04:59,1.0,1.0,656.3
2009-10-03 16:10:00,1.0,1.0,657.4
2009-10-03 16:14:59,1.0,-1.0,659.1
2009-10-03 16:19:59,1.0,1.0,658.4
2009-10-03 16:24:59,1.0,-1.0,659.0
2009-10-03 16:30:00,1.0,-1.0,658.8
2009-10-03 16:34:59,1.0,-1.0,656.6
2009-10-03 16:39:59,1.0,-1.0,656.3
2009-10-03 16:44:59,1.0,-1.0,655.4
2009-10-03 16:49:59,1.0,-1.0,654.3
2009-10-03 16:55:00,1.0,-1.0,654.2
2009-10-03 16:59:59,1.0,-1.0,652.2
2009-10-03 17:04:59,1.0,1.0,651.2
2009-10-03 17:09:59,1.0,1.0,651.7
2009-10-03 17:15:00,1.0,1.0,652.6
2009-10-03 17:19:59,1.0,1.0,654.1
2009-10-03 17:24:59,1.0,-1.0,654.6
2009-10-03 17:29:59,1.0,1.0,653.7
2009-10-03 17:34:59,1.0,-1.0,655.5
2009-10-03 17:40:00,1.0,-1.0,654.9
2009-10-03 17:44:59,1.0,1.0,654.7
2009-10-03 17:49:59,1.0,-1.0,655.6
2009-10-03 17:54:59,1.0,-1.0,654.9
2009-10-03 18:00:00,1.0,1.0,653.5
2009-10-03 18:04:59,1.0,1.0,654.0
2009-10-03 18:09:59,1.0,1.0,654.9
2009-10-03 18:14:59,1.0,1.0,656.5
2009-10-03 18:19:59,1.0,-1.0,657.1
2009-10-03 18:25:00,1.0,1.0,654.9
2009-10-03 18:29:59,1.0,-1.0,659.1
2009-10-03 18:34:59,1.0,-1.0,658.5
2009-10-03 18:39:59,1.0,1.0,658.0
2009-10-03 18:45:00,1.0,1.0,659.1
2009-10-03 18:49:59,1.0,0.0,660.1
2009-10-03 18:54:59,1.0,-1.0,660.1
2009-10-03 18:59:59,1.0,-1.0,658.1
2009-10-03 19:04:59,1.0,-1.0,657.1
2009-10-03 19:10:00,1.0,-1.0,656.4
2009-10-03 19:14:59,1.0,-1.0,655.9
2009-10-03 19:19:59,1.0,1.0,655.4
2009-10-03 19:24:59,1.0,-1.0,655.6
2009-10-03 19:30:00,1.0,1.0,653.2
2009-10-03 19:34:59,1.0,1.0,653.9
2009-10-03 19:39:59,1.0,-1.0,657.6
2009-10-03 19:44:59,1.0,1.0,653.7
2009-10-03 19:49:59,1.0,-1.0,656.0
2009-10-03 19:55:00,1.0,-1.0,653.8
2009-10-03 19:59:59,1.0,1.0,653.7
2009-10-03 20:04:59,1.0,-1.0,655.7
2009-10-03 20:09:59,1.0,1.0,655.1
2009-10-03 20:15:00,1.0,1.0,656.3
2009-10-03 20:19:59,1.0,1.0,656.5
2009-10-03 20:24:59,1.0,-1.0,656.9
2009-10-03 20:29:59,1.0,1.0,654.7
2009-10-03 20:34:59,1.0,1.0,657.0
2009-10-03 20:40:00,1.0,1.0,657.2
2009-10-03 20:44:59,1.0,1.0,657.7
2009-10-03 20:49:59,1.0,-1.0,657.9
2009-10-03 20:54:59,1.0,-1.0,655.8
2009-10-03 21:00:00,1.0,1.0,654.7
2009-10-03 21:04:59,1.0,-1.0,656.2
2009-10-03 21:09:59,1.0,1.0,655.7
2009-10-03 21:14:59,1.0,1.0,655.9
2009-10-03 21:19:59,1.0,-1.0,656.6
2009-10-03 21:25:00,1.0,1.0,656.3
2009-10-03 21:29:59,1.0,-1.0,657.0
2009-10-03 21:34:59,1.0,1.0,655.6
2009-10-03 21:39:59,1.0,-1.0,656.3
2009-10-03 21:45:00,1.0,1.0,655.7
2009-10-03 21:49:59,1.0,1.0,657.3
2009-10-03 21:54:59,1.0,1.0,660.8
2009-10-03 21:59:59,1.0,1.0,663.6
2009-10-03 22:04:59,1.0,-1.0,666.3
2009-10-03 22:10:00,1.0,0.0,665.9
2009-10-03 22:14:59,1.0,0.0,665.9
2009-10-03 22:19:59,1.0,0.0,665.9
2009-10-03 22:24:59,1.0,1.0,665.9
2009-10-03 22:30:00,1.0,0.0,666.4
2009-10-03 22:34:59,1.0,0.0,666.4
2009-10-03 22:39:59,1.0,0.0,666.4
2009-10-03 22:44:59,1.0,0.0,666.4
2009-10-03 22:49:59,1.0,0.0,666.4
2009-10-03 22:55:00,1.0,0.0,666.4
2009-10-03 22:59:59,1.0,0.0,666.4
2009-10-03 23:04:59,1.0,0.0,666.4
2009-10-03 23:09:59,1.0,-1.0,666.4
2009-10-03 23:15:00,1.0,-1.0,665.9
2009-10-03 23:19:59,1.0,1.0,665.7
2009-10-04 00:09:59,1.0,0.0,667.4
2009-10-04 00:14:59,1.0,0.0,667.4
2009-10-04 00:19:59,1.0,-1.0,667.4
2009-10-04 00:25:00,1.0,0.0,667.2
2009-10-04 00:29:59,1.0,-1.0,667.2
2009-10-04 00:34:59,1.0,1.0,664.8
2009-10-04 00:39:59,1.0,0.0,666.2
2009-10-04 00:45:00,1.0,0.0,666.2
2009-10-04 00:49:59,1.0,0.0,666.2
2009-10-04 00:54:59,1.0,0.0,666.2
2009-10-04 00:59:59,1.0,0.0,666.2
2009-10-04 01:04:59,1.0,0.0,666.2
2009-10-04 01:10:00,1.0,0.0,666.2
2009-10-04 01:14:59,1.0,1.0,666.2
2009-10-04 01:19:59,1.0,0.0,667.2
2009-10-04 01:24:59,1.0,0.0,667.2
2009-10-04 01:30:00,1.0,0.0,667.2
2009-10-04 01:34:59,1.0,0.0,667.2
2009-10-04 01:39:59,1.0,0.0,667.2
2009-10-04 01:44:59,1.0,-1.0,667.2
2009-10-04 01:49:59,1.0,0.0,666.8
2009-10-04 01:55:00,1.0,1.0,666.8
2009-10-04 01:59:59,1.0,-1.0,667.1
2009-10-04 02:04:59,1.0,0.0,666.2
2009-10-04 02:09:59,1.0,1.0,666.2
2009-10-04 02:15:00,1.0,-1.0,666.7
2009-10-04 02:19:59,1.0,0.0,666.6
2009-10-04 02:24:59,1.0,0.0,666.6
2009-10-04 02:29:59,1.0,0.0,666.6
2009-10-04 02:34:59,1.0,0.0,666.6
2009-10-04 02:40:00,1.0,0.0,666.6
2009-10-04 02:44:59,1.0,0.0,666.6
2009-10-04 02:49:59,1.0,-1.0,666.6
2009-10-04 02:54:59,1.0,1.0,663.6
2009-10-04 03:00:00,1.0,0.0,666.2
2009-10-04 03:04:59,1.0,1.0,666.2
2009-10-04 03:09:59,1.0,-1.0,667.3
2009-10-04 03:14:59,1.0,0.0,667.2
2009-10-04 03:19:59,1.0,0.0,667.2
2009-10-04 03:25:00,1.0,0.0,667.2
2009-10-04 03:29:59,1.0,-1.0,667.2
2009-10-04 03:34:59,1.0,-1.0,662.6
2009-10-04 03:39:59,1.0,-1.0,660.8
2009-10-04 03:45:00,1.0,0.0,658.4
2009-10-04 03:49:59,1.0,0.0,658.4
2009-10-04 03:54:59,1.0,1.0,658.4
2009-10-04 03:59:59,1.0,-1.0,660.7
2009-10-04 04:04:59,1.0,1.0,659.8
2009-10-04 04:10:00,1.0,-1.0,660.6
2009-10-04 04:14:59,1.0,1.0,659.0
2009-10-04 04:19:59,1.0,0.0,659.7
2009-10-04 04:24:59,1.0,-1.0,659.7
2009-10-04 04:30:00,1.0,0.0,659.2
2009-10-04 04:34:59,1.0,0.0,659.2
2009-10-04 04:39:59,1.0,0.0,659.2
2009-10-04 04:44:59,1.0,-1.0,659.2
2009-10-04 04:49:59,1.0,0.0,659.0
2009-10-04 04:55:00,1.0,0.0,659.0
2009-10-04 04:59:59,1.0,0.0,659.0
2009-10-04 05:04:59,1.0,-1.0,659.0
2009-10-04 05:09:59,1.0,0.0,658.0
2009-10-04 05:15:00,1.0,-1.0,658.0
2009-10-04 05:19:59,1.0,1.0,657.9
2009-10-04 05:24:59,1.0,-1.0,658.0
2009-10-04 05:29:59,1.0,0.0,657.7
2009-10-04 05:34:59,1.0,1.0,657.7
2009-10-04 05:40:00,1.0,-1.0,658.9
2009-10-04 05:44:59,1.0,0.0,657.8
2009-10-04 05:49:59,1.0,0.0,657.8
2009-10-04 05:54:59,1.0,-1.0,657.8
2009-10-04 06:00:00,1.0,0.0,657.6
2009-10-04 06:04:59,1.0,0.0,657.6
2009-10-04 06:09:59,1.0,0.0,657.6
2009-10-04 06:14:59,1.0,0.0,657.6
2009-10-04 06:19:59,1.0,0.0,657.6
2009-10-04 06:25:00,1.0,0.0,657.6
2009-10-04 06:29:59,1.0,0.0,657.6
2009-10-04 06:34:59,1.0,0.0,657.6
2009-10-04 06:39:59,1.0,0.0,657.6
2009-10-04 06:45:00,1.0,0.0,657.6
2009-10-04 06:49:59,1.0,0.0,657.6
2009-10-04 06:54:59,1.0,0.0,657.6
2009-10-04 06:59:59,1.0,0.0,657.6
2009-10-04 07:04:59,1.0,0.0,657.6
2009-10-04 07:10:00,1.0,0.0,657.6
2009-10-04 07:14:59,1.0,0.0,657.6
2009-10-04 07:19:59,1.0,0.0,657.6
2009-10-04 07:24:59,1.0,0.0,657.6
2009-10-04 07:30:00,1.0,0.0,657.6
2009-10-04 07:34:59,1.0,-1.0,657.6
2009-10-04 07:39:59,1.0,0.0,656.9
2009-10-04 07:44:59,1.0,0.0,656.9
2009-10-04 07:49:59,1.0,0.0,656.9
2009-10-04 07:55:00,1.0,-1.0,656.9
2009-10-04 07:59:59,1.0,-1.0,656.7
2009-10-04 08:04:59,1.0,0.0,656.4
2009-10-04 08:09:59,1.0,0.0,656.4
2009-10-04 08:15:00,1.0,0.0,656.4
2009-10-04 08:19:59,1.0,0.0,656.4
2009-10-04 08:24:59,1.0,0.0,656.4
2009-10-04 08:29:59,1.0,-1.0,656.4
2009-10-04 08:34:59,1.0,1.0,656.3
2009-10-04 08:40:00,1.0,0.0,659.1
2009-10-04 08:44:59,1.0,0.0,659.1
2009-10-04 08:49:59,1.0,0.0,659.1
2009-10-04 08:54:59,1.0,0.0,659.1
2009-10-04 09:00:00,1.0,0.0,659.1
2009-10-04 09:04:59,1.0,0.0,659.1
2009-10-04 09:09:59,1.0,-1.0,659.1
2009-10-04 09:14:59,1.0,0.0,658.2
2009-10-04 09:19:59,1.0,1.0,658.2
2009-10-04 09:25:00,1.0,0.0,660.7
2009-10-04 09:29:59,1.0,0.0,660.7
2009-10-04 09:34:59,1.0,-1.0,660.7
2009-10-04 09:39:59,1.0,-1.0,659.3
2009-10-04 09:45:00,1.0,0.0,658.9
2009-10-04 09:49:59,1.0,1.0,658.9
2009-10-04 09:54:59,1.0,0.0,660.2
2009-10-04 09:59:59,1.0,0.0,660.2
2009-10-04 10:04:59,1.0,0.0,660.2
2009-10-04 10:10:00,1.0,1.0,660.2
2009-10-04 10:14:59,1.0,-1.0,660.8
2009-10-04 10:19:59,1.0,0.0,660.2
2009-10-04 10:24:59,1.0,0.0,660.2
2009-10-04 10:30:00,1.0,0.0,660.2
2009-10-04 10:34:59,1.0,0.0,660.2
2009-10-04 10:39:59,1.0,0.0,660.2
2009-10-04 10:44:59,1.0,0.0,660.2
2009-10-04 10:49:59,1.0,0.0,660.2
2009-10-04 10:55:00,1.0,1.0,660.2
2009-10-04 10:59:59,1.0,0.0,664.1
2009-10-04 11:04:59,1.0,1.0,664.1
2009-10-04 11:09:59,1.0,1.0,664.6
2009-10-04 11:15:00,1.0,-1.0,664.8
2009-10-04 11:19:59,1.0,1.0,663.3
2009-10-04 11:24:59,1.0,0.0,663.6
2009-10-04 11:29:59,1.0,1.0,663.6
2009-10-04 11:34:59,1.0,0.0,665.2
2009-10-04 11:40:00,1.0,0.0,665.2
2009-10-04 11:44:59,1.0,0.0,665.2
2009-10-04 11:49:59,1.0,0.0,665.2
2009-10-04 11:54:59,1.0,-1.0,665.2
2009-10-04 12:00:00,1.0,0.0,663.0
2009-10-04 12:04:59,1.0,0.0,663.0
2009-10-04 12:09:59,1.0,0.0,663.0
2009-10-04 12:14:59,1.0,0.0,663.0
2009-10-04 12:19:59,1.0,-1.0,663.0
2009-10-04 12:25:00,1.0,0.0,662.6
2009-10-04 12:29:59,1.0,-1.0,662.6
2009-10-04 12:34:59,1.0,0.0,662.1
2009-10-04 12:39:59,1.0,0.0,662.1
2009-10-04 12:45:00,1.0,-1.0,662.1
2009-10-04 12:49:59,1.0,0.0,661.0
2009-10-04 12:54:59,1.0,0.0,661.0
2009-10-04 12:59:59,1.0,0.0,661.0
2009-10-04 13:04:59,1.0,0.0,661.0
2009-10-04 13:10:00,1.0,0.0,661.0
2009-10-04 13:14:59,1.0,0.0,661.0
2009-10-04 13:19:59,1.0,0.0,661.0
2009-10-04 13:24:59,1.0,0.0,661.0
2009-10-04 13:30:00,1.0,0.0,661.0
2009-10-04 13:34:59,1.0,1.0,661.0
2009-10-04 13:39:59,1.0,-1.0,662.3
2009-10-04 13:44:59,1.0,-1.0,659.8
2009-10-04 13:49:59,1.0,0.0,658.9
2009-10-04 13:55:00,1.0,0.0,658.9
2009-10-04 13:59:59,1.0,1.0,658.9
2009-10-04 14:04:59,1.0,-1.0,660.3
2009-10-04 14:09:59,1.0,-1.0,659.6
2009-10-04 14:15:00,1.0,0.0,659.3
2009-10-04 14:19:59,1.0,-1.0,659.3
2009-10-04 14:24:59,1.0,-1.0,658.7
2009-10-04 14:29:59,1.0,1.0,656.6
2009-10-04 14:34:59,1.0,1.0,656.9
2009-10-04 14:40:00,1.0,-1.0,658.0
2009-10-04 14:44:59,1.0,-1.0,657.7
2009-10-04 14:49:59,1.0,1.0,656.8
2009-10-04 14:54:59,1.0,1.0,657.1
2009-10-04 15:00:00,1.0,-1.0,657.6
2009-10-04 15:04:59,1.0,0.0,657.4
2009-10-04 15:09:59,1.0,-1.0,657.4
2009-10-04 15:14:59,1.0,-1.0,657.2
2009-10-04 15:19:59,1.0,-1.0,656.4
2009-10-04 15:25:00,1.0,-1.0,656.2
2009-10-04 15:29:59,1.0,-1.0,655.8
2009-10-04 15:34:59,1.0,-1.0,652.4
2009-10-04 15:39:59,1.0,-1.0,649.4
2009-10-04 15:45:00,1.0,-1.0,648.3
2009-10-04 15:49:59,1.0,-1.0,644.4
2009-10-04 15:54:59,1.0,-1.0,641.0
2009-10-04 15:59:59,1.0,-1.0,639.8
2009-10-04 16:04:59,1.0,1.0,637.7
2009-10-04 16:10:00,1.0,-1.0,640.9
2009-10-04 16:14:59,1.0,-1.0,639.8
2009-10-04 16:19:59,1.0,-1.0,638.1
2009-10-04 16:24:59,1.0,1.0,637.9
2009-10-04 16:30:00,1.0,-1.0,638.2
2009-10-04 16:34:59,1.0,-1.0,636.6
2009-10-04 16:39:59,1.0,-1.0,635.9
2009-10-04 16:44:59,1.0,1.0,634.5
2009-10-04 16:49:59,1.0,-1.0,635.9
2009-10-04 16:55:00,1.0,0.0,634.9
2009-10-04 16:59:59,1.0,-1.0,634.9
2009-10-04 17:04:59,1.0,-1.0,630.5
2009-10-04 17:09:59,1.0,1.0,629.9
2009-10-04 17:15:00,1.0,1.0,631.3
2009-10-04 17:19:59,1.0,1.0,631.9
2009-10-04 17:24:59,1.0,-1.0,632.8
2009-10-04 17:29:59,1.0,1.0,631.8
2009-10-04 17:34:59,1.0,1.0,632.7
2009-10-04 17:40:00,1.0,1.0,633.3
2009-10-04 17:44:59,1.0,-1.0,634.1
2009-10-04 17:49:59,1.0,1.0,633.5
2009-10-04 17:54:59,1.0,-1.0,634.3
2009-10-04 18:00:00,1.0,-1.0,634.1
2009-10-04 18:04:59,1.0,-1.0,633.7
2009-10-04 18:09:59,1.0,1.0,633.1
2009-10-04 18:14:59,1.0,-1.0,633.8
2009-10-04 18:19:59,1.0,-1.0,633.2
2009-10-04 18:25:00,1.0,-1.0,631.3
2009-10-04 18:29:59,1.0,1.0,631.0
2009-10-04 18:34:59,1.0,-1.0,631.1
2009-10-04 18:39:59,1.0,-1.0,630.2
2009-10-04 18:45:00,1.0,1.0,630.1
2009-10-04 18:49:59,1.0,-1.0,630.6
2009-10-04 18:54:59,1.0,-1.0,630.5
2009-10-04 18:59:59,1.0,-1.0,629.8
2009-10-04 19:04:59,1.0,-1.0,628.2
2009-10-04 19:10:00,1.0,-1.0,627.8
2009-10-04 19:14:59,1.0,-1.0,627.6
2009-10-04 19:19:59,1.0,1.0,626.7
2009-10-04 19:24:59,1.0,1.0,627.4
2009-10-04 19:30:00,1.0,-1.0,628.2
2009-10-04 19:34:59,1.0,1.0,625.8
2009-10-04 19:39:59,1.0,-1.0,629.4
2009-10-04 19:44:59,1.0,-1.0,629.0
2009-10-04 19:49:59,1.0,1.0,625.9
2009-10-04 19:55:00,1.0,1.0,627.8
2009-10-04 19:59:59,1.0,-1.0,628.3
2009-10-04 20:04:59,1.0,1.0,627.4
2009-10-04 20:09:59,1.0,-1.0,627.6
2009-10-04 20:15:00,1.0,-1.0,626.2
2009-10-04 20:19:59,1.0,-1.0,624.8
2009-10-04 20:24:59,1.0,-1.0,624.7
2009-10-04 20:29:59,1.0,-1.0,623.0
2009-10-04 20:34:59,1.0,-1.0,622.9
2009-10-04 20:40:00,1.0,1.0,621.7
2009-10-04 20:44:59,1.0,-1.0,624.2
2009-10-04 20:49:59,1.0,1.0,622.7
2009-10-04 20:54:59,1.0,-1.0,625.8
2009-10-04 21:00:00,1.0,-1.0,624.4
2009-10-04 21:04:59,1.0,1.0,623.6
2009-10-04 21:09:59,1.0,-1.0,623.8
2009-10-04 21:14:59,1.0,1.0,621.0
2009-10-04 21:19:59,1.0,-1.0,622.0
2009-10-04 21:25:00,1.0,1.0,620.3
2009-10-04 21:29:59,1.0,-1.0,621.5
2009-10-04 21:34:59,1.0,-1.0,619.5
2009-10-04 21:39:59,1.0,-1.0,618.6
2009-10-04 21:45:00,1.0,1.0,618.0
2009-10-04 21:49:59,1.0,-1.0,619.7
2009-10-04 21:54:59,1.0,-1.0,618.6
2009-10-04 21:59:59,1.0,1.0,617.7
2009-10-04 22:04:59,1.0,1.0,619.7
2009-10-04 22:10:00,1.0,0.0,620.4
2009-10-04 22:14:59,1.0,0.0,620.4
2009-10-04 22:19:59,1.0,0.0,620.4
2009-10-04 22:24:59,1.0,1.0,620.4
2009-10-04 22:30:00,1.0,0.0,620.7
2009-10-04 22:34:59,1.0,-1.0,620.7
2009-10-04 22:39:59,1.0,-1.0,620.2
2009-10-04 22:44:59,1.0,1.0,620.1
2009-10-04 22:49:59,1.0,0.0,621.1
2009-10-04 22:55:00,1.0,-1.0,621.1
2009-10-04 22:59:59,1.0,1.0,620.8
2009-10-05 00:29:59,1.0,0.0,621.1
2009-10-05 00:34:59,1.0,1.0,621.1
2009-10-05 00:39:59,1.0,-1.0,622.1
2009-10-05 00:45:00,1.0,0.0,621.5
2009-10-05 00:49:59,1.0,1.0,621.5
2009-10-05 00:54:59,1.0,0.0,621.6
2009-10-05 00:59:59,1.0,1.0,621.6
2009-10-05 01:04:59,1.0,0.0,621.9
2009-10-05 01:10:00,1.0,0.0,621.9
2009-10-05 01:14:59,1.0,0.0,621.9
2009-10-05 01:19:59,1.0,0.0,621.9
2009-10-05 01:24:59,1.0,0.0,621.9
2009-10-05 01:30:00,1.0,0.0,621.9
2009-10-05 01:34:59,1.0,0.0,621.9
2009-10-05 01:39:59,1.0,0.0,621.9
2009-10-05 01:44:59,1.0,0.0,621.9
2009-10-05 01:49:59,1.0,0.0,621.9
2009-10-05 01:55:00,1.0,0.0,621.9
2009-10-05 01:59:59,1.0,1.0,621.9
2009-10-05 02:04:59,1.0,0.0,622.6
2009-10-05 02:09:59,1.0,0.0,622.6
2009-10-05 02:15:00,1.0,0.0,622.6
2009-10-05 02:19:59,1.0,0.0,622.6
